A	nida.;
CƏHƏTLƏNDİR	f.;
CƏHƏTLƏNDİRİL	f.;
CƏHƏTLƏNDİRİLMƏ	f.;
CƏHƏTLƏNDİRMƏ	f.;
CƏHƏTLƏNMƏ	f.;
CEHİZ	is.;
CEHİZLİ	sif.;
CEHİZLİK	is.;
CEHİZSİZ	sif.;
CƏHL	is.;sif.;
CƏHLKAR	is.;sif.;
ÇƏHRAYI	sif.;
ÇƏHRAYILAŞ	f.;
ÇƏHRAYILAŞDIR	f.;
ÇƏHRAYILAŞDIRIL	f.;
ÇƏHRAYILAŞDIRILMA	f.;
ÇƏHRAYILAŞDIRMA	f.;
ÇƏHRAYILAŞDIRMAQ	f.;
ÇƏHRAYILAŞMA	f.;
ÇƏHRAYILAŞMAQ	f.;
ÇƏHRAYILIQ	is.;
ÇƏHRAYISİFƏTLİ	sif.;
CƏHRƏ	is.;
CƏHRƏÇİ	is.;
CƏHRƏÇİLİK	is.;
ÇƏK	f.;
ÇEK	is.;
ÇEKA	is.;
ÇƏKÇƏKİN	is.;
ÇƏK-ÇEVİR	is.;
ÇƏKDİR	f.;
ÇƏKDİRİL	f.;
ÇƏKDİRİLMƏ	f.;
ÇƏKDİRMƏ	f.;
ÇƏKDİRMƏK	f.;
ÇƏKDİRT	f.;
ÇƏKDİRTMƏ	f.;
ÇƏKƏÇƏK	is.;
ÇƏKƏ-ÇƏKƏ	zer.;
ÇƏKƏLƏK	is.;
ÇƏKƏNƏK	is.;
ÇƏKHAÇƏK	is.;
ÇƏKİ	is.;
ÇƏKİBALIĞI	is.;
ÇƏKİB-BÜKƏN	is.;
ÇƏKİB-BÜKMƏ	f.;
ÇƏKİB-HAZIRLAMA	f.;
ÇƏKİB-HAZIRLAYAN	f.;
ÇƏKİB-QABLAŞDIRAN	is.;
ÇƏKİB-QABLAŞDIRMA	f.;
ÇƏKİC	is.;
ÇƏKİCBAŞ	is.;
ÇƏKİCİ	is.;sif.;
ÇƏKİC-KƏLBƏTİN	is.;
ÇƏKİC-KÜLÜNG	is.;
ÇƏKİCLƏ	f.;
ÇƏKİCLƏMƏ	f.;
ÇƏKİCLƏN	f.;
ÇƏKİCLƏNMƏ	f.;
ÇƏKİCLİ	sif.;
ÇƏKİC-PRES	is.;
ÇƏKİCTULLAMA	f.;
ÇƏKİCTULLAYAN	is.;
ÇƏKİCVURAN	is.;
ÇƏKİC-ZİNDAN	is.;
ÇƏKİDİŞLİ	sif.;
ÇƏKİK	sif.;
ÇƏKİL	is.;
ÇƏKİLİ	sif.;
ÇƏKİLİK	is.;
ÇƏKİLİŞ	is.;
ÇƏKİLİŞARASI	sif.;
ÇƏKİLLİK	is.;
ÇƏKİLMƏ	f.;
ÇƏKİLMƏK	f.;
ÇƏKİM	is.;
ÇƏKİN	f.;
ÇƏKİNDİR	f.;
ÇƏKİNDİRİL	f.;
ÇƏKİNDİRİLMƏ	f.;
ÇƏKİNDİRMƏ	f.;
ÇƏKİNDİRMƏK	f.;
ÇƏKİNƏ-ÇƏKİNƏ	zer.;
ÇƏKİNGƏN	sif.;
ÇƏKİNGƏNLİK	is.;
ÇƏKİNMƏ	f.;
ÇƏKİNMƏDƏN	zer.;
ÇƏKİNMƏK	f.;
ÇƏKİNMƏZ	sif.;
ÇƏKİNMƏZLİK	is.;
ÇƏKİNTİ	is.;
ÇƏKİÖLÇƏN	is.;
ÇƏKİRT	f.;
ÇƏKİRTMƏ	f.;
ÇƏKİŞ	f.;
ÇƏKİŞ-BƏRKİŞ	f.;is.;
ÇƏKİŞDİR	f.;
ÇƏKİŞDİRİL	f.;
ÇƏKİŞDİRİLMƏ	f.;
ÇƏKİŞDİRMƏ	f.;
ÇƏKİŞDİRMƏK	f.;
ÇƏKİSİZ	sif.;zer.;
ÇƏKİSİZLİK	is.;
ÇƏKİŞMƏ	f.;is.;
ÇƏKİŞMƏK	f.;
ÇEKİST	is.;
ÇEKİSTLİK	is.;
ÇƏKMƏ	is.;
ÇƏKMƏCƏ	is.;
ÇƏKMƏÇİ	is.;
ÇƏKMƏÇİLİK	is.;
ÇƏKMƏK	f.;
ÇƏKMƏLİ	sif.;
ÇƏKMƏLİK	sif.;
ÇƏKMƏPLOV	is.;
ÇƏKMƏSİLƏN	is.;
CƏLAYİ-VƏTƏN	is.;
CƏLB	is.;
CƏLBEDİCİ	sif.;
CƏLBETMƏ	f.;
CƏLD	sif.;zer.;
CƏLD-CƏLD	zer.;
CƏLDDƏYİŞİLƏN	sif.;
CƏLDDİŞLƏMƏ	f.;
CƏLDDİŞLƏYƏN	is.;
CƏLDHƏRƏKƏTLİ	sif.;
CƏLDLƏŞ	f.;
CƏLDLƏŞDİR	f.;
CƏLDLƏŞDİRMƏ	f.;
CƏLDLƏŞDİRMƏK	f.;
CƏLDLƏŞMƏ	f.;
CƏLDLƏŞMƏK	f.;
CƏLDLİK	is.;
CƏLƏ	is.;
CƏLƏB	is.;
ÇƏLƏBİ	sif.;
CƏLƏK	is.;
ÇƏLƏK	is.;
ÇƏLƏK-ÇƏLƏK	zer.;
ÇƏLƏKƏSƏN	is.;
CƏLƏKLƏ	f.;
CƏLƏKLƏMƏ	f.;
CƏLƏKLƏN	f.;
CƏLƏKLƏNMƏ	f.;
CƏLƏKLƏT	f.;
CƏLƏKLƏTMƏ	f.;
CƏLƏKLİ	sif.;
CƏLƏKSİZ	sif.;
ÇƏLƏMBƏRİ	sif.;
ÇƏLƏNG	is.;
ÇƏLƏNGVARI	sif.;
CƏLƏQIRAN	is.;
CƏLƏSƏ	is.;
CƏLƏ-TƏLƏ	is.;
CƏLİ	is.;
ÇƏLİK	is.;
ÇƏLİKLƏŞ	f.;
ÇƏLİKLƏŞMƏ	f.;
ÇƏLİKLİ	sif.;
ÇƏLİKSİZ	sif.;
ÇƏLİKÜRƏK	is.;
ÇƏLİKÜRƏKLİ	sif.;
ÇƏLİM	is.;
ÇƏLİMLİ	sif.;
ÇƏLİMSİZ	sif.;
CƏLLAD	is.;
CƏLLADLIQ	is.;
ÇƏLLƏK	is.;
ÇƏLLƏKÇİ	is.;
ÇƏLLƏKCİK	is.;
ÇƏLLƏKÇİLİK	is.;
ÇƏLLƏKQAYIRAN	is.;
ÇƏLLƏKŞƏKİLLİ	sif.;
ÇƏLLƏKVARI	sif.;
ÇƏLPƏŞ	is.;
ÇƏLPƏŞDİR	f.;
ÇƏLPƏŞDİRİL	f.;
ÇƏLPƏŞDİRİLMƏ	f.;
ÇƏLPƏŞDİRMƏ	f.;
ÇƏLPƏŞİK	sif.;zer.;
ÇƏLTİK	is.;
ÇƏLTİKÇİ	is.;
ÇƏLTİKÇİLİK	is.;
ÇƏLTİKƏKƏN	is.;
ÇƏLTİKKİMİ	sif.;
ÇƏLTİKLİ	sif.;
ÇƏLTİKLİK	is.;
ÇƏLTİKTƏMİZLƏMƏ	f.;
ÇƏLTİKTƏMİZLƏYƏN	f.;
ÇƏLTİKYIĞAN	is.;
CEM	is.;
CƏM	is.;
ÇƏM	is.;
CƏMADAT	is.;
CƏMADİYƏLAXIR	is.;
CƏMADİYƏLAXİR	is.;
CƏMADİYƏLƏVVƏL	is.;
CƏMADİYƏSSANİ	is.;
CƏMDƏK	is.;
CƏMDƏKYEYƏN	is.;
CƏMƏN	is.;
ÇƏMƏN	is.;
CƏMƏN, CƏMİYYƏN	zer.;
ÇƏMƏN-BOZQIR	is.;
ÇƏMƏN-ÇALA	is.;
ÇƏMƏN-ÇAYIR	is.;
ÇƏMƏNÇİ	is.;
ÇƏMƏNCİK	is.;
ÇƏMƏNÇİLİK	is.;
ÇƏMƏNGAH	is.;
ÇƏMƏNGÜLÜ	is.;
ÇƏMƏNİSTAN	is.;
ÇƏMƏNLƏŞ	f.;
ÇƏMƏNLƏŞMƏ	f.;
ÇƏMƏNLİ	sif.;
ÇƏMƏNLİCƏ	sif.;
ÇƏMƏNLİK	is.;
ÇƏMƏNOTU	is.;
ÇƏMƏNYONCASI	is.;
ÇƏMƏNZAR	is.;
ÇƏMƏNZAR, ÇƏMƏNGAH	is.;
ÇƏMƏNZARLIQ	is.;
CƏMİ	is.;
CƏMİ-CÜMLƏTANI	ed.;
ÇƏMİR	is.;
ÇƏMİRMƏ	f.;
CƏMİSİ	ed.;
CƏMİYYƏT	is.;
CƏMİYYƏTÇİ	is.;
CƏMİYYƏTÇİLİK	is.;
CƏMİYYƏTDƏNQAÇAN	sif.;
CƏMİYYƏTƏZİDD	sif.;
CƏMİYYƏTİ-XEYRİYYƏ	sif.;
CƏMİYYƏTPƏRƏST	sif.;
CƏMİYYƏTPƏRƏSTLİK	is.;
CƏMİYYƏTŞÜNAS	is.;
CƏMİYYƏTŞÜNASLIQ	is.;
ÇƏMKİR	f.;
ÇƏMKİRMƏ	f.;
ÇƏMKİRMƏK	f.;
CƏMLƏ	f.;
CƏMLƏMƏ	f.;
CƏMLƏMƏK	f.;
CƏMLƏN	f.;
CƏMLƏNMƏ	f.;
CƏMLƏNMƏK	f.;
CƏMLƏNMİŞ	f.;
CƏMLƏŞ	f.;
CƏMLƏŞDİR	f.;
CƏMLƏŞDİRİL	f.;
CƏMLƏŞDİRİLMƏ	f.;
CƏMLƏŞDİRMƏ	f.;
CƏMLƏŞDİRMƏK	f.;
CƏMLƏŞMƏ	f.;
CƏMLƏŞMƏK	f.;
CƏMLƏT	f.;
CƏMLƏTMƏ	f.;
CƏMLƏYİCİ	is.;sif.;
CEMPER	is.;
ÇEMPİON	is.;
ÇEMPİONAT	is.;
ÇEMPİONLUQ	is.;
ÇƏMRƏ	is.;
ÇƏMRƏLƏN	f.;
ÇƏMRƏLƏNMƏ	f.;
ÇƏMRƏLİ	sif.;
ÇƏMRƏN	f.;
ÇƏMRƏNMƏ	f.;
ÇƏM-XƏM	is.;
ÇƏM-XƏMLİ	sif.;
ÇƏN	is.;
CƏNAB	is.;
ÇƏNALTI	is.;
CƏNAZƏ	is.;
ÇƏNBƏR	is.;
ÇƏNBƏRBAĞIRSAQ	is.;
ÇƏNBƏRBIĞ	is.;
ÇƏNBƏRBIĞLI	sif.;
ÇƏNBƏRBIĞLI	sif.;
ÇƏNBƏRBURUN	is.;
ÇƏNBƏRBURUNLU	sif.;
ÇƏNBƏRBURUNLU	sif.;
ÇƏNBƏRƏ	is.;
ÇƏNBƏRLƏ	f.;
ÇƏNBƏRLƏMƏ	f.;
ÇƏNBƏRLƏMƏK	f.;
ÇƏNBƏRLƏN	f.;
ÇƏNBƏRLƏNMƏ	f.;
ÇƏNBƏRLƏT	f.;
ÇƏNBƏRLƏTMƏ	f.;
ÇƏNBƏRLİ	sif.;
ÇƏNBƏRQUYRUQ	is.;
ÇƏNBƏRQUYRUQLU	sif.;
CƏNCƏL	is.;
CƏNCƏLÇİ	sif.;
CƏNCƏLLİ	sif.;
CƏNCƏLLİK	is.;
ÇƏN-ÇİSKİN	is.;
ÇƏN-DUMAN	is.;
ÇƏNƏ	is.;
ÇƏNƏALTI	is.;
ÇƏNƏARXASI	is.;
ÇƏNƏBAZAR	is.;
ÇƏNƏBƏND	is.;
ÇƏNƏ-BOĞAZ	is.;
ÇƏNƏ-ÇƏNƏYƏ	sif.;zer.;
ÇƏNƏCİK	is.;
ÇƏNƏ-DİLALTI	is.;
CƏNƏFZA	is.;
CƏNƏLƏŞ	f.;
ÇƏNƏLƏŞ	f.;
CƏNƏLƏŞMƏ	f.;
ÇƏNƏLƏŞMƏ	f.;
ÇƏNƏLƏŞMƏK	f.;
ÇƏNƏLİ	sif.;
ÇƏNƏSİZ	sif.;
CƏNG	is.;
ÇƏNG	is.;
CƏNGAVƏR	sif.;
CƏNGAVƏRCƏ	zer.;
CƏNGAVƏRCƏSİNƏ	zer.;
CƏNGAVƏRLİK	is.;
CƏNG-CİDA	is.;
CƏNG-CİDAL	is.;
CƏNGCU	is.;
ÇƏNGƏ	is.;
ÇƏNGƏ-ÇƏNGƏ	zer.;
CƏNGƏL	is.;
ÇƏNGƏL	is.;
ÇƏNGƏL-BIÇAQ	is.;
ÇƏNGƏLƏ	f.;
ÇƏNGƏLƏBƏNZƏR	sif.;
ÇƏNGƏLƏMƏ	f.;
ÇƏNGƏLƏMƏK	f.;
ÇƏNGƏLƏŞ	f.;
ÇƏNGƏLƏŞMƏ	f.;
ÇƏNGƏLƏŞMƏK	f.;
ÇƏNGƏLLƏ	f.;
ÇƏNGƏLLƏMƏ	f.;
ÇƏNGƏLLƏMƏK	f.;
ÇƏNGƏLLƏNMƏ	f.;
ÇƏNGƏLLƏNMƏK	f.;
ÇƏNGƏLLİ	sif.;
CƏNGƏLLİK	is.;
ÇƏNGƏLLİK	is.;
ÇƏNGƏL-QAŞIQ	is.;
ÇƏNGƏLQUYRUQLU	sif.;
ÇƏNGƏLVARI	sif.;
ÇƏNGƏLVARILIQ	is.;
CƏNGİ	is.;
ÇƏNGİ	is.;
ÇƏNGİLİK	is.;
CƏNGİMƏ	f.;
CƏNGİMƏK	f.;
ÇƏNGİT	f.;
ÇƏNGİTMƏ	f.;
ÇƏNGLƏ	f.;
ÇƏNGLƏMƏ	f.;
CƏNGLƏN	f.;
CƏNGLƏNMƏ	f.;
ÇƏNGLƏŞ	f.;
ÇƏNGLƏŞMƏ	f.;
CƏNGLİ	sif.;
CƏNGLİ-CİDALLI	sif.;
ÇƏNGLİK	is.;
CƏNGLİ-NAĞARALI	sif.;
ÇƏNLƏ	f.;
ÇƏNLƏMƏ	f.;
CƏNLƏN	f.;
CƏNLƏNMƏ	f.;
ÇƏNLƏŞ	f.;
ÇƏNLƏŞMƏ	f.;
ÇƏNLƏŞMƏK	f.;
ÇƏNLİ	sif.;
ÇƏNLİ-ÇİSKİNLİ	sif.;
ÇƏNLİ-DUMANLI	sif.;
ÇƏNLİLİK	is.;
CƏNNƏT	is.;
CƏNNƏT-CƏHƏNNƏM	is.;
CƏNNƏTLİK	is.;sif.;
CƏNNƏTMƏKAN	sif.;
ÇƏNSİZ	sif.;
CENTLMEN	is.;
CENTLMENLİK	is.;
CƏNUB	is.;
CƏNUBİ	sif.;
CƏNUBLU	sif.;
CƏNUB-QƏRB	is.;
CƏNUB-QƏRBİ	sif.;
CƏNUB-ŞƏRQ	is.;
CƏNUB-ŞƏRQİ	sif.;
ÇƏP	is.;sif.;
ÇƏPBUCAQLI	sif.;
ÇƏP-ÇƏP	zer.;
ÇƏPÇİK	is.;
ÇƏPDİR	f.;
ÇƏPDİŞ	sif.;
ÇƏPDİŞLİ	sif.;
ÇƏPƏKİ	zer.;
ÇƏPƏKİLİK	is.;
ÇƏPƏL	is.;
ÇƏPƏNDAZ	is.;
ÇƏPƏNDAZI	zer.;
ÇƏPƏR	is.;
ÇƏPƏRDİBİ	is.;
ÇƏPƏRLƏ	f.;
ÇƏPƏRLƏMƏ	f.;
ÇƏPƏRLƏMƏK	f.;
ÇƏPƏRLƏN	f.;
ÇƏPƏRLƏNMƏ	f.;
ÇƏPƏRLƏNMƏK	f.;
ÇƏPƏRLƏNMİŞ	f.;
ÇƏPƏRLƏT	f.;
ÇƏPƏRLƏTMƏ	f.;
ÇƏPƏRLİ	sif.;
ÇƏPƏRLİLİK	is.;
ÇƏPGÖZ	sif.;
ÇƏPGÖZLÜ	sif.;
ÇƏPGÖZLÜK	is.;
ÇƏPİK	is.;
ÇƏPİNƏ	zer.;
ÇƏPİŞ	is.;
ÇƏPİŞOTU	is.;
ÇƏPKƏN	is.;
ÇƏPKƏNLİ	sif.;
ÇƏPLƏ	f.;
ÇƏPLƏMƏ	f.;
ÇƏPLƏŞ	f.;
ÇƏPLƏŞDİR	f.;
ÇƏPLƏŞDİRİL	f.;
ÇƏPLƏŞDİRİLMƏ	f.;
ÇƏPLƏŞDİRMƏ	f.;
ÇƏPLƏŞMƏ	f.;
ÇƏPLƏŞMƏK	f.;
ÇƏPLƏT	f.;
ÇƏPLƏTMƏ	f.;
ÇƏPLİK	is.;
ÇƏPLİLİK	is.;
ÇƏPMİLLİ	sif.;
ÇƏR	is.;
CƏRAHƏT	is.;
CƏRCƏNƏK	is.;
ÇƏR-ÇƏNGƏL	is.;
ÇERÇEVİK	is.;
ÇƏRÇİ	is.;
ÇƏRÇİLİK	is.;
ÇƏRÇİVƏ	is.;
ÇƏRÇİVƏÇİ	is.;
ÇƏRÇİVƏLƏ	f.;
ÇƏRÇİVƏLƏMƏ	f.;
ÇƏRÇİVƏLƏMƏK	f.;
ÇƏRÇİVƏLƏN	f.;
ÇƏRÇİVƏLƏNMƏ	f.;
ÇƏRÇİVƏLƏT	f.;
ÇƏRÇİVƏLƏTMƏ	f.;
ÇƏRÇİVƏLİ	sif.;
ÇƏRÇİVƏLİLİK	is.;
ÇƏRÇİVƏŞƏKİLLİ	sif.;
ÇƏRDƏK	is.;
ÇƏRDƏKLİ	sif.;
ÇƏRDƏKSİZ	sif.;
ÇƏRDƏYMİŞ	f.;is.;
ÇƏRƏK	is.;
ÇƏRƏKƏ	is.;
ÇƏRƏKLİK	is.;
ÇƏRƏL	f.;
ÇƏRƏLMƏ	f.;
ÇƏRƏLT	f.;
ÇƏRƏLTMƏ	f.;
ÇƏRƏN	is.;
ÇƏRƏNÇİ	is.;sif.;
ÇƏRƏNÇİLİK	is.;
ÇƏRƏNDƏYMİŞ	sif.;
ÇƏRƏNLƏ	f.;
ÇƏRƏNLƏMƏ	f.;
ÇƏRƏNLƏMƏK	f.;
ÇƏRƏN-PƏRƏN	is.;
CƏRƏYAN	is.;
CƏRƏYANAPARAN	is.;
CƏRƏYANAYIRAN	is.;
CƏRƏYANBÖLƏN	is.;
CƏRƏYANDƏYİŞDİRƏN	is.;
CƏRƏYANGƏTİRƏN	is.;
CƏRƏYANGÖTÜRƏN	is.;
CƏRƏYANKEÇƏN	is.;
CƏRƏYANKƏSİCİ	sif.;
CƏRƏYANLI	sif.;
CƏRƏYANÖLÇƏN	is.;
CƏRƏYANÖTÜRƏN	is.;
CƏRƏYANÖTÜRÜCÜ	is.;
CƏRƏYANPAYLAMA	f.;
CƏRƏYANPAYLAYAN	is.;
CƏRƏYANQƏBULEDİCİ	is.;
CƏRƏYANYIĞAN	is.;
ÇƏRƏZ	is.;
ÇƏRƏZLİ	sif.;
ÇƏRƏZSİZ	sif.;
ÇƏRƏZXOR	is.;
CƏRGƏ	is.;
CƏRGƏARASI	is.;sif.;
CƏRGƏBƏCƏRGƏ	zer.;
CƏRGƏ-CƏRGƏ	zer.;
CƏRGƏLƏ	f.;
CƏRGƏLƏMƏ	f.;
CƏRGƏLƏN	f.;
CƏRGƏLƏNMƏ	f.;
CƏRGƏLƏNMƏK	f.;
CƏRGƏLƏRARASI	is.;sif.;
CƏRGƏLƏŞ	f.;
CƏRGƏLƏŞMƏ	f.;
CƏRGƏLƏŞMƏK	f.;
CƏRGƏLİ	sif.;
CƏRGƏVİ	sif.;
CƏRGƏYANI	is.;
ÇƏRİ	is.;
CƏRİDƏ	is.;
ÇƏRİKLƏ	f.;
CƏRİMƏ	is.;
CƏRİMƏLƏ	f.;
CƏRİMƏLƏMƏ	f.;
CƏRİMƏLƏMƏK	f.;
CƏRİMƏLƏN	f.;
CƏRİMƏLƏNDİR	f.;
CƏRİMƏLƏNDİRMƏ	f.;
CƏRİMƏLƏNMƏ	f.;
CƏRİMƏLƏNMƏK	f.;
CƏRİMƏLİ	sif.;
CƏRİMƏSİZ	sif.;
ÇƏRKƏZ	is.;
ÇƏRKƏZCƏ	sif.;zer.;
ÇƏRKƏZİ	sif.;
ÇƏRLƏ	f.;
ÇƏRLƏMƏ	f.;
ÇƏRLƏMƏK	f.;
ÇƏRLƏNMƏ	f.;
ÇƏRLƏNMƏK	f.;
ÇƏRLƏT	f.;
ÇƏRLƏTMƏ	f.;
ÇƏRLƏTMƏK	f.;
ÇƏRMƏKİ	is.;
ÇƏRMƏKLİ	sif.;
ÇƏRPDİR	f.;
ÇƏRPDİRMƏ	f.;
ÇƏRPƏLƏNG	is.;
CƏRRAH	is.;
CƏRRAH-FİZİOLOQ	is.;
CƏRRAHİ	sif.;
CƏRRAHİYYƏ	is.;
CƏRRAHLIQ	is.;
CƏRRAH-ONKOLOQ	is.;
ÇƏRŞƏNBƏ	is.;
ÇƏRT	f.;
ÇƏRTDİR	f.;
ÇƏRTDİRİL	f.;
ÇƏRTDİRİLMƏ	f.;
ÇƏRTDİRMƏ	f.;
ÇƏRTİK	is.;
ÇƏRTİKLƏMƏ	f.;
ÇƏRTİKLƏMƏK	f.;
ÇƏRTİKLƏN	f.;
ÇƏRTİKLƏNMƏ	f.;
ÇƏRTİL	f.;
ÇƏRTİLİ	sif.;
ÇƏRTİLMƏ	f.;
ÇƏRTİLMƏK	f.;
ÇƏRTMƏ	f.;
ÇƏRTMƏK	f.;
ÇERTYOJ	is.;
ÇERTYOJÇU	is.;
ÇERTYOJÇU-KONSTRUKTOR	is.;
ÇERTYOJÇULUQ	is.;
ÇERVON	is.;
ÇERVONLUQ	is.;
ÇƏRX	is.;
ÇƏRXİ-FƏLƏK	is.;
ÇƏRXİ-KƏCMƏDAR	is.;
ÇEŞ	is.;
CƏSAMƏT	is.;
CƏSAMƏTLİ	sif.;
CƏSARƏT	is.;
CƏSARƏTLƏ	zer.;
CƏSARƏTLƏN	f.;
CƏSARƏTLƏNDİR	f.;
CƏSARƏTLƏNDİRMƏ	f.;
CƏSARƏTLƏNDİRMƏK	f.;
CƏSARƏTLƏNMƏ	f.;
CƏSARƏTLƏNMƏK	f.;
CƏSARƏTLİ	sif.;
CƏSARƏTLİLİK	is.;
CƏSARƏTSİZ	sif.;zer.;
CƏSARƏTSİZLİK	is.;
CƏSƏD	is.;
CƏSƏDLİ	sif.;
ÇEŞİD	is.;
ÇEŞİD-ÇEŞİD	sif.;zer.;
ÇEŞİDÇİ	is.;
ÇEŞİDÇİLİK	is.;
ÇEŞİDLƏ	f.;
ÇEŞİDLƏMƏ	f.;
ÇEŞİDLƏMƏK	f.;
ÇEŞİDLƏN	f.;
ÇEŞİDLƏNMƏ	f.;
ÇEŞİDLƏNMƏK	f.;
ÇEŞİDLƏŞ	f.;
ÇEŞİDLƏŞDİR	f.;
ÇEŞİDLƏŞDİRİCİ	is.;
ÇEŞİDLƏŞDİRİL	f.;
ÇEŞİDLƏŞDİRİLMƏ	f.;
ÇEŞİDLƏŞDİRMƏ	f.;
ÇEŞİDLƏŞMƏ	f.;
ÇEŞİDLƏT	f.;
ÇEŞİDLƏTMƏ	f.;
ÇEŞİDLƏYİCİ	is.;sif.;
ÇEŞİDLİ	sif.;
CƏSİM	sif.;
ÇEŞM	is.;
ÇEŞMƏ	is.;
ÇEŞMƏCİK	is.;
ÇEŞMƏK	is.;
ÇEŞMƏKÇİ	is.;
ÇEŞMƏKÇİLİK	is.;
ÇEŞMƏKLƏN	f.;
ÇEŞMƏKLİ	sif.;
ÇEŞMƏLİ	sif.;
ÇEŞMƏLİK	is.;
ÇEŞNİ	is.;
ÇEŞNİÇİ	is.;
ÇEŞNİGİR	is.;
ÇEŞNİLİ	sif.;
ÇEŞT	is.;
ÇESUÇA	is.;
CƏSUR	sif.;
CƏSURANƏ	zer.;
CƏSURLAN	f.;
CƏSURLANMA	f.;
CƏSURLUQ	is.;
ÇƏTƏ	is.;
ÇƏTƏÇİ	is.;
ÇƏTƏÇİLİK	is.;
ÇƏTƏK	is.;
ÇƏTƏL	is.;
ÇƏTƏLLİK	is.;
ÇƏTƏN	is.;
ÇƏTƏNƏ	is.;
ÇƏTƏNƏLİK	is.;
ÇƏTƏNƏYARPAQ	is.;
ÇƏTİL	f.;
ÇƏTİN	sif.;zer.;
ÇƏTİNBƏYƏNƏN	is.;
ÇƏTİNDEYİLƏN	sif.;
ÇƏTİNƏRİYƏN	sif.;
ÇƏTİNLƏŞ	f.;
ÇƏTİNLƏŞDİR	f.;
ÇƏTİNLƏŞDİRİL	f.;
ÇƏTİNLƏŞDİRİLMƏ	f.;
ÇƏTİNLƏŞDİRİLMƏK	f.;
ÇƏTİNLƏŞDİRMƏ	f.;
ÇƏTİNLƏŞDİRMƏK	f.;
ÇƏTİNLƏŞMƏ	f.;
ÇƏTİNLƏŞMƏK	f.;
ÇƏTİNLİK	is.;
ÇƏTİNLİKLƏ	zer.;
ÇƏTİNOXUNAN	is.;
ÇƏTİNSATILAN	sif.;
ÇƏTİNTƏHƏR	sif.;zer.;
ÇƏTİR	is.;
ÇƏTİRÇİÇƏKLİ	sif.;
ÇƏTİRÇİÇƏKLİKİMİ	sif.;
ÇƏTİRÇİÇƏKLİLƏR	sif.;
ÇƏTİRÇİÇƏYİ	is.;
ÇƏTİRCİK	is.;
ÇƏTİRƏBƏNZƏR	sif.;
ÇƏTİRLƏN	f.;
ÇƏTİRLƏNDİR	f.;
ÇƏTİRLİ	sif.;
ÇƏTİRŞƏKİLLİ	sif.;
ÇƏTİRYARPAQ	is.;
ÇƏTİRYARPAQLI	sif.;
ÇƏTVƏR	is.;
ÇƏTVƏRLİK	is.;
CƏVANƏ	sif.;
CƏVƏRƏN	is.;
ÇEVİK	sif.;zer.;
ÇEVİKCƏ	zer.;
ÇEVİKLƏŞ	f.;
ÇEVİKLƏŞDİR	f.;
ÇEVİKLƏŞDİRMƏ	f.;
ÇEVİKLƏŞMƏ	f.;
ÇEVİKLƏŞMƏK	f.;
ÇEVİKLİK	is.;
ÇEVİR	f.;
ÇEVİRGƏC	is.;
ÇEVİRİCİ	is.;sif.;
ÇEVİRİŞ	is.;
ÇEVİRMƏ	f.;
ÇEVİRMƏK	f.;
ÇEVİRT	f.;
ÇEVİRTDİR	f.;
ÇEVİRTDİRİL	f.;
ÇEVİRTDİRİLMƏ	f.;
ÇEVİRTDİRMƏ	f.;
ÇEVİRTMƏ	f.;
ÇEVİRTMƏK	f.;
ÇEVRƏ	is.;
ÇEVRƏLƏ	f.;
ÇEVRƏLƏMƏ	f.;
ÇEVRƏLƏMƏK	f.;
ÇEVRƏLƏN	f.;
ÇEVRƏLƏNMƏ	f.;
ÇEVRƏLƏNMƏK	f.;
ÇEVRƏLİ	sif.;
ÇEVRƏVİ	sif.;
ÇEVRİK	sif.;
ÇEVRİKƏ-ÇEVRİKƏ	zer.;
ÇEVRİKMƏ	f.;
ÇEVRİKMƏK	f.;
ÇEVRİL	f.;
ÇEVRİLİŞ	is.;
ÇEVRİLMƏ	f.;is.;
ÇEVRİLMƏK	f.;
ÇEVRİM	sif.;
ÇEX	is.;
ÇEXCƏ	sif.;zer.;
ÇEXOL	is.;
ÇEXOLLU	sif.;
ÇEXOLLUQ	sif.;
ÇEXOXBİLİ	is.;
ÇEYİL	is.;
ÇEYİLLİ	sif.;
ÇEYİLLİK	is.;
ÇƏYİRDƏK	is.;
ÇƏYİRDƏKLƏN	f.;
ÇƏYİRDƏKLƏNMƏ	f.;
ÇƏYİRDƏKLİ	sif.;
ÇƏYİRDƏKMEYVƏ	is.;
ÇƏYİRDƏKSİZ	sif.;
ÇƏYİRDƏKSİZLİK	is.;
ÇƏYİRDƏYƏBƏNZƏR	sif.;
ÇƏYİRTKƏ	is.;
ÇƏYİRTKƏKİMİ	sif.;
ÇEYNƏ	f.;
ÇEYNƏM	is.;
ÇEYNƏM-ÇEYNƏM	sif.;
ÇEYNƏMƏ	f.;
ÇEYNƏMƏK	f.;
ÇEYNƏN	f.;
ÇEYNƏNİL	f.;
ÇEYNƏNİLMƏ	f.;
ÇEYNƏNMƏ	f.;
ÇEYNƏNMƏK	f.;
ÇEYNƏNMİŞ	f.;
ÇEYNƏŞ	f.;
ÇEYNƏŞMƏ	f.;
ÇEYNƏT	f.;
ÇEYNƏTMƏ	f.;
ÇEYNƏYİCİ	sif.;
CEYRAN	is.;
CEYRANBASAN	sif.;
CEYRANBAXIŞLI	sif.;
CEYRAN-CÜYÜR	is.;
